unit,geo,year,unemployment_rate
Percentage of total population,Latvia,2019,4.4
Percentage of total population,Latvia,2020,5.7
Percentage of total population,Latvia,2021,5.1
Percentage of total population,Latvia,2022,4.7
Percentage of total population,Latvia,2023,4.5
Percentage of total population,Latvia,2024,4.8
Percentage of total population,Latvia,2025,4.8
Percentage of total population,Lithuania,2014,7.1
Percentage of total population,Lithuania,2015,6.1
Percentage of total population,Lithuania,2016,5.3
Percentage of total population,Lithuania,2017,4.8
Percentage of total population,Lithuania,2018,4.3
Percentage of total population,Lithuania,2019,4.4
Percentage of total population,Lithuania,2020,6.0
Percentage of total population,Lithuania,2021,5.0
Percentage of total population,Lithuania,2022,4.2
Percentage of total population,Lithuania,2023,4.8
Percentage of total population,Lithuania,2024,5.1
Percentage of total population,Lithuania,2025,4.9
Percentage of total population,Luxembourg,2014,3.7
Percentage of total population,Luxembourg,2015,4.3
Percentage of total population,Luxembourg,2016,4.0
Percentage of total population,Luxembourg,2017,3.5
Percentage of total population,Luxembourg,2018,3.6
Percentage of total population,Luxembourg,2019,3.7
Percentage of total population,Luxembourg,2020,4.4
Percentage of total population,Luxembourg,2021,3.5
Percentage of total population,Luxembourg,2022,3.1
Percentage of total population,Luxembourg,2023,3.5
Percentage of total population,Luxembourg,2024,4.3
Percentage of total population,Luxembourg,2025,4.4
Percentage of total population,Hungary,2014,4.5
Percentage of total population,Hungary,2015,4.1
Percentage of total population,Hungary,2016,3.1
Percentage of total population,Hungary,2017,2.6
Percentage of total population,Hungary,2018,2.3
Percentage of total population,Hungary,2019,2.1
Percentage of total population,Hungary,2020,2.7
Percentage of total population,Hungary,2021,2.6
Percentage of total population,Hungary,2022,2.4
Percentage of total population,Hungary,2023,2.8
Percentage of total population,Hungary,2024,3.1
Percentage of total population,Hungary,2025,3.0
Percentage of total population,Malta,2014,3.4
Percentage of total population,Malta,2015,3.2
Percentage of total population,Malta,2016,2.9
Percentage of total population,Malta,2017,2.5
Percentage of total population,Malta,2018,2.5
Percentage of total population,Malta,2019,2.7
Percentage of total population,Malta,2020,3.2
Percentage of total population,Malta,2021,2.5
Percentage of total population,Malta,2022,2.4
Percentage of total population,Malta,2023,2.5
Percentage of total population,Malta,2024,2.3
Percentage of total population,Malta,2025,2.3
Percentage of total population,Netherlands,2014,6.1
Percentage of total population,Netherlands,2015,5.7
Percentage of total population,Netherlands,2016,5.1
Percentage of total population,Netherlands,2017,4.2
Percentage of total population,Netherlands,2018,3.6
Percentage of total population,Netherlands,2019,3.3
Percentage of total population,Netherlands,2020,3.6
Percentage of total population,Netherlands,2021,3.1
Percentage of total population,Netherlands,2022,2.6
Percentage of total population,Netherlands,2023,2.7
Percentage of total population,Netherlands,2024,2.8
Percentage of total population,Netherlands,2025,3.0
Percentage of total population,Austria,2014,4.0
Percentage of total population,Austria,2015,4.1
Percentage of total population,Austria,2016,4.4
Percentage of total population,Austria,2017,4.0
Percentage of total population,Austria,2018,3.6
Percentage of total population,Austria,2019,3.3
Percentage of total population,Austria,2020,4.1
Percentage of total population,Austria,2021,4.2
Percentage of total population,Austria,2022,3.3
Percentage of total population,Austria,2023,3.5
Percentage of total population,Austria,2024,3.6
Percentage of total population,Austria,2025,3.9
Percentage of total population,Poland,2014,5.5
Percentage of total population,Poland,2015,4.6
Percentage of total population,Poland,2016,3.8
Percentage of total population,Poland,2017,3.0
Percentage of total population,Poland,2018,2.4
Percentage of total population,Poland,2019,2.0
Percentage of total population,Poland,2020,1.9
Percentage of total population,Poland,2021,2.1
Percentage of total population,Poland,2022,1.8
Percentage of total population,Poland,2023,1.8
Percentage of total population,Poland,2024,1.8
Percentage of total population,Poland,2025,2.0
Percentage of total population,Portugal,2014,9.2
Percentage of total population,Portugal,2015,8.2
Percentage of total population,Portugal,2016,7.3
Percentage of total population,Portugal,2017,5.9
Percentage of total population,Portugal,2018,4.7
Percentage of total population,Portugal,2019,4.3
Percentage of total population,Portugal,2020,4.5
Percentage of total population,Portugal,2021,4.4
Percentage of total population,Portugal,2022,4.1
Percentage of total population,Portugal,2023,4.4
Percentage of total population,Portugal,2024,4.4
Percentage of total population,Portugal,2025,4.1
Percentage of total population,Romania,2014,4.5
Percentage of total population,Romania,2015,4.5
Percentage of total population,Romania,2016,3.8
Percentage of total population,Romania,2017,3.3
Percentage of total population,Romania,2018,2.9
Percentage of total population,Romania,2019,2.7
Percentage of total population,Romania,2020,3.4
Percentage of total population,Romania,2021,3.2
Percentage of total population,Romania,2022,3.2
Percentage of total population,Romania,2023,3.2
Percentage of total population,Romania,2024,3.1
Percentage of total population,Romania,2025,3.5
Percentage of total population,Slovenia,2014,6.1
Percentage of total population,Slovenia,2015,5.7
Percentage of total population,Slovenia,2016,5.0
Percentage of total population,Slovenia,2017,4.2
Percentage of total population,Slovenia,2018,3.3
Percentage of total population,Slovenia,2019,2.9
Percentage of total population,Slovenia,2020,3.2
