freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2021,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2022,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2023,5.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2024,5.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2025,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2014,12.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2015,10.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2016,8.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2017,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2018,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2019,5.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2020,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2021,5.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022,4.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023,4.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2024,4.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2025,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2014,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2015,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2016,4.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2017,2.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2018,2.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2019,2.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2020,2.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2021,2.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2022,2.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2023,2.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2024,2.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2025,2.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2014,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2015,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2016,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2017,5.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2018,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2019,5.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2020,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2021,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2022,4.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2023,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2024,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2025,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2014,4.7
