rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Germany,2020,1.2,Total,Age in completed years,666639.0,Total,Total,9.0,38670.0,235.2,Percentage of total population,2.5,588.0,96675.0,2116.7999999999997
Total,Total,Germany,2023,1.9,Total,Age in completed years,1303251.0,Total,Total,13.0,39990.0,235.8,Percentage of total population,2.2,518.7600000000001,87978.0,3065.4
Total,Total,Estonia,2014,3.9,Total,Age in completed years,3904.0,Total,Total,8.3,15680.0,30.3,Percentage of total population,5.0,151.5,78400.0,251.49000000000004
Total,Total,Estonia,2015,2.8,Total,Age in completed years,15413.0,Total,Total,6.8,16000.0,30.3,Percentage of total population,4.5,136.35,72000.0,206.04
Total,Total,Estonia,2016,3.3,Total,Age in completed years,14822.0,Total,Total,4.9,16460.0,30.3,Percentage of total population,4.9,148.47000000000003,80654.0,148.47000000000003
Total,Total,Estonia,2017,3.3,Total,Age in completed years,17616.0,Total,Total,4.8,17390.0,30.3,Percentage of total population,4.2,127.26,73038.0,145.44
Total,Total,Estonia,2018,2.9,Total,Age in completed years,17547.0,Total,Total,4.0,17990.0,30.4,Percentage of total population,3.9,118.55999999999999,70161.0,121.6
Total,Total,Estonia,2019,2.7,Total,Age in completed years,18259.0,Total,Total,4.4,18580.0,30.5,Percentage of total population,3.2,97.60000000000001,59456.0,134.20000000000002
Total,Total,Estonia,2020,2.1,Total,Age in completed years,16209.0,Total,Total,4.4,17990.0,30.5,Percentage of total population,5.0,152.5,89950.0,134.20000000000002
Total,Total,Estonia,2023,2.9,Total,Age in completed years,26399.0,Total,Total,7.6,18200.0,31.8,Percentage of total population,4.7,149.46,85540.0,241.68
Total,Total,Ireland,2014,1.3,Total,Age in completed years,73519.0,Total,Total,6.4,46960.0,67.8,Percentage of total population,7.8,528.8399999999999,366288.0,433.92
Total,Total,Ireland,2015,1.2,Total,Age in completed years,80792.0,Total,Total,4.7,57980.0,68.5,Percentage of total population,6.6,452.09999999999997,382668.0,321.95
Total,Total,Ireland,2016,1.0,Total,Age in completed years,93378.0,Total,Total,4.6,57990.0,69.3,Percentage of total population,5.6,388.08,324744.0,318.78
Total,Total,Ireland,2017,0.7,Total,Age in completed years,84743.0,Total,Total,4.5,62950.0,70.0,Percentage of total population,4.5,315.0,283275.0,315.0
