rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Portugal,2015,4.7,Total,Age in completed years,36849.0,Total,Total,9.1,17280.0,112.3,Percentage of total population,8.2,920.8599999999999,141696.0,1021.93
Total,Total,Portugal,2016,4.9,Total,Age in completed years,37644.0,Total,Total,7.5,17670.0,113.5,Percentage of total population,7.3,828.55,128991.0,851.25
Total,Total,Portugal,2017,4.0,Total,Age in completed years,46649.0,Total,Total,6.7,18280.0,113.2,Percentage of total population,5.9,667.8800000000001,107852.0,758.44
Total,Total,Portugal,2018,4.1,Total,Age in completed years,55357.0,Total,Total,5.7,18830.0,113.0,Percentage of total population,4.7,531.1,88501.0,644.1
Total,Total,Portugal,2019,4.1,Total,Age in completed years,95382.0,Total,Total,5.7,19310.0,113.0,Percentage of total population,4.3,485.9,83033.0,644.1
Total,Total,Portugal,2020,3.9,Total,Age in completed years,83654.0,Total,Total,4.1,17680.0,113.0,Percentage of total population,4.5,508.5,79560.0,463.29999999999995
Total,Total,Portugal,2023,6.0,Total,Age in completed years,189367.0,Total,Total,4.9,20200.0,116.3,Percentage of total population,4.4,511.72,88880.0,569.87
Total,Total,Romania,2014,20.6,Total,Age in completed years,136035.0,Total,Total,16.2,7800.0,86.6,Percentage of total population,4.5,389.7,35100.0,1402.9199999999998
Total,Total,Romania,2015,19.8,Total,Age in completed years,132795.0,Total,Total,15.9,8090.0,86.1,Percentage of total population,4.5,387.45,36405.0,1368.99
Total,Total,Romania,2016,19.8,Total,Age in completed years,137455.0,Total,Total,14.4,8370.0,85.6,Percentage of total population,3.8,325.28,31806.0,1232.6399999999999
Total,Total,Romania,2017,17.2,Total,Age in completed years,177435.0,Total,Total,12.3,9100.0,85.2,Percentage of total population,3.3,281.15999999999997,30030.0,1047.96
Total,Total,Romania,2018,16.1,Total,Age in completed years,172578.0,Total,Total,10.3,9650.0,83.1,Percentage of total population,2.9,240.98999999999998,27985.0,855.93
Total,Total,Romania,2019,14.2,Total,Age in completed years,202422.0,Total,Total,8.6,10080.0,82.7,Percentage of total population,2.7,223.29000000000002,27216.0,711.22
Total,Total,Romania,2020,14.3,Total,Age in completed years,145519.0,Total,Total,7.1,9760.0,82.7,Percentage of total population,3.4,281.18,33184.0,587.17
Total,Total,Romania,2023,9.6,Total,Age in completed years,324091.0,Total,Total,9.1,11120.0,81.4,Percentage of total population,3.2,260.48,35584.0,740.74
Total,Total,Slovenia,2014,6.5,Total,Age in completed years,13846.0,Total,Total,6.4,18230.0,102.4,Percentage of total population,6.1,624.64,111203.0,655.3600000000001
Total,Total,Slovenia,2015,5.6,Total,Age in completed years,15420.0,Total,Total,6.1,18660.0,102.4,Percentage of total population,5.7,583.6800000000001,106362.0,624.64
Total,Total,Slovenia,2016,4.5,Total,Age in completed years,16623.0,Total,Total,5.7,19210.0,102.5,Percentage of total population,5.0,512.5,96050.0,584.25
Total,Total,Slovenia,2017,4.4,Total,Age in completed years,18808.0,Total,Total,5.2,20190.0,102.6,Percentage of total population,4.2,430.92,84798.0,533.52
Total,Total,Slovenia,2018,4.8,Total,Age in completed years,28455.0,Total,Total,4.9,21010.0,102.9,Percentage of total population,3.3,339.57,69333.0,504.21000000000004
Total,Total,Slovenia,2019,3.9,Total,Age in completed years,31319.0,Total,Total,4.1,21570.0,103.7,Percentage of total population,2.9,300.73,62553.0,425.16999999999996
Total,Total,Slovenia,2020,3.1,Total,Age in completed years,36110.0,Total,Total,4.4,20560.0,103.7,Percentage of total population,3.2,331.84000000000003,65792.0,456.28000000000003
Total,Total,Slovenia,2023,3.5,Total,Age in completed years,33939.0,Total,Total,3.7,23230.0,105.3,Percentage of total population,2.4,252.71999999999997,55752.0,389.61
Total,Total,Slovakia,2014,4.3,Total,Age in completed years,5357.0,Total,Total,9.0,14100.0,110.5,Percentage of total population,8.5,939.25,119850.0,994.5
Total,Total,Slovakia,2015,4.2,Total,Age in completed years,6997.0,Total,Total,9.1,14820.0,110.6,Percentage of total population,7.5,829.5,111150.0,1006.4599999999999
Total,Total,Slovakia,2016,4.3,Total,Age in completed years,7686.0,Total,Total,7.7,15090.0,111.5,Percentage of total population,6.4,713.6,96576.0,858.5500000000001
Total,Total,Slovakia,2017,5.2,Total,Age in completed years,7188.0,Total,Total,8.4,15500.0,111.7,Percentage of total population,5.4,603.1800000000001,83700.0,938.2800000000001
Total,Total,Slovakia,2018,3.7,Total,Age in completed years,7253.0,Total,Total,4.1,16110.0,111.8,Percentage of total population,4.3,480.73999999999995,69273.0,458.37999999999994
Total,Total,Slovakia,2019,3.6,Total,Age in completed years,7016.0,Total,Total,5.7,16450.0,112.0,Percentage of total population,3.8,425.59999999999997,62510.0,638.4
Total,Total,Slovakia,2020,3.2,Total,Age in completed years,6775.0,Total,Total,3.2,16010.0,112.0,Percentage of total population,4.4,492.80000000000007,70444.0,358.40000000000003
Total,Total,Slovakia,2023,4.0,Total,Age in completed years,5923.0,Total,Total,5.9,17370.0,111.4,Percentage of total population,3.9,434.46000000000004,67743.0,657.2600000000001
Total,Total,Finland,2014,0.7,Total,Age in completed years,31507.0,Total,Total,5.1,38300.0,18.0,Percentage of total population,5.7,102.60000000000001,218310.0,91.8
Total,Total,Finland,2015,0.7,Total,Age in completed years,28746.0,Total,Total,4.9,38350.0,18.0,Percentage of total population,6.1,109.8,233935.0,88.2
Total,Total,Finland,2016,0.7,Total,Age in completed years,34905.0,Total,Total,4.4,39230.0,18.1,Percentage of total population,5.8,104.98,227534.0,79.64000000000001
Total,Total,Finland,2017,0.7,Total,Age in completed years,31797.0,Total,Total,4.3,40430.0,18.1,Percentage of total population,5.7,103.17000000000002,230451.0,77.83
Total,Total,Finland,2018,0.9,Total,Age in completed years,31106.0,Total,Total,4.3,40860.0,18.1,Percentage of total population,4.9,88.69000000000001,200214.0,77.83
Total,Total,Finland,2019,0.9,Total,Age in completed years,32758.0,Total,Total,4.0,41370.0,18.2,Percentage of total population,4.5,81.89999999999999,186165.0,72.8
Total,Total,Finland,2020,1.0,Total,Age in completed years,32898.0,Total,Total,4.1,40270.0,18.1,Percentage of total population,5.1,92.31,205377.0,74.21
Total,Total,Finland,2023,1.0,Total,Age in completed years,73236.0,Total,Total,5.5,40780.0,18.4,Percentage of total population,5.0,92.0,203900.0,101.19999999999999
Total,Total,Sweden,2014,2.1,Total,Age in completed years,126966.0,Total,Total,8.6,44690.0,23.8,Percentage of total population,5.8,138.04,259202.0,204.68
Total,Total,Sweden,2015,2.6,Total,Age in completed years,134240.0,Total,Total,8.7,46160.0,24.1,Percentage of total population,5.4,130.14000000000001,249264.00000000003,209.67
Total,Total,Sweden,2016,2.7,Total,Age in completed years,163005.0,Total,Total,8.5,46590.0,24.4,Percentage of total population,5.1,124.43999999999998,237608.99999999997,207.39999999999998
Total,Total,Sweden,2017,2.5,Total,Age in completed years,144489.0,Total,Total,8.4,46800.0,24.7,Percentage of total population,4.9,121.03,229320.00000000003,207.48
Total,Total,Sweden,2018,2.9,Total,Age in completed years,132602.0,Total,Total,8.3,47080.0,25.0,Percentage of total population,4.7,117.5,221276.0,207.50000000000003
Total,Total,Sweden,2019,2.6,Total,Age in completed years,115805.0,Total,Total,9.4,47790.0,25.2,Percentage of total population,5.0,126.0,238950.0,236.88
Total,Total,Sweden,2020,2.5,Total,Age in completed years,82518.0,Total,Total,8.3,46550.0,25.2,Percentage of total population,6.2,156.24,288610.0,209.16000000000003
Total,Total,Sweden,2023,2.3,Total,Age in completed years,94514.0,Total,Total,10.9,48350.0,25.9,Percentage of total population,5.8,150.22,280430.0,282.31
Below 60%,Total,Belgium,2014,3.8,Total,Age in completed years,123158.0,Total,Total,42.6,36530.0,369.6,Percentage of total population,5.2,1921.92,189956.0,15744.960000000001
Below 60%,Total,Belgium,2015,4.1,Total,Age in completed years,146626.0,Total,Total,37.6,36860.0,371.8,Percentage of total population,5.2,1933.3600000000001,191672.0,13979.68
Below 60%,Total,Belgium,2016,6.1,Total,Age in completed years,123702.0,Total,Total,38.7,37110.0,373.7,Percentage of total population,4.7,1756.39,174417.0,14462.19
Below 60%,Total,Belgium,2017,7.7,Total,Age in completed years,126703.0,Total,Total,35.5,37510.0,373.6,Percentage of total population,4.3,1606.48,161293.0,13262.800000000001
Below 60%,Total,Belgium,2018,8.1,Total,Age in completed years,137860.0,Total,Total,36.5,38040.0,375.3,Percentage of total population,3.6,1351.0800000000002,136944.0,13698.45
Below 60%,Total,Belgium,2019,5.4,Total,Age in completed years,150006.0,Total,Total,32.7,38760.0,377.3,Percentage of total population,3.3,1245.09,127908.0,12337.710000000001
Below 60%,Total,Belgium,2020,5.8,Total,Age in completed years,118683.0,Total,Total,33.9,36740.0,377.3,Percentage of total population,3.4,1282.82,124916.0,12790.47
Below 60%,Total,Belgium,2023,6.2,Total,Age in completed years,169609.0,Total,Total,33.3,40400.0,386.8,Percentage of total population,3.4,1315.12,137360.0,12880.439999999999
Below 60%,Total,Bulgaria,2014,34.4,Total,Age in completed years,26615.0,Total,Total,40.4,6260.0,66.3,Percentage of total population,7.4,490.62,46324.0,2678.52
Below 60%,Total,Bulgaria,2015,27.2,Total,Age in completed years,25223.0,Total,Total,44.6,6560.0,66.2,Percentage of total population,6.1,403.82,40016.0,2952.5200000000004
Below 60%,Total,Bulgaria,2016,29.2,Total,Age in completed years,21241.0,Total,Total,55.3,6840.0,64.8,Percentage of total population,5.1,330.47999999999996,34884.0,3583.4399999999996
Below 60%,Total,Bulgaria,2017,27.2,Total,Age in completed years,25597.0,Total,Total,50.1,7130.0,64.3,Percentage of total population,4.4,282.92,31372.000000000004,3221.43
Below 60%,Total,Bulgaria,2018,26.2,Total,Age in completed years,29559.0,Total,Total,50.6,7390.0,63.9,Percentage of total population,3.8,242.82,28082.0,3233.34
Below 60%,Total,Bulgaria,2019,22.8,Total,Age in completed years,37929.0,Total,Total,48.1,7780.0,63.4,Percentage of total population,3.3,209.21999999999997,25674.0,3049.54
Below 60%,Total,Bulgaria,2020,20.9,Total,Age in completed years,37364.0,Total,Total,41.7,7610.0,63.4,Percentage of total population,3.7,234.58,28157.0,2643.78
Below 60%,Total,Bulgaria,2023,15.8,Total,Age in completed years,56807.0,Total,Total,39.3,8830.0,58.6,Percentage of total population,2.7,158.22000000000003,23841.0,2302.98
Below 60%,Total,Czechia,2014,12.9,Total,Age in completed years,29897.0,Total,Total,44.1,15470.0,136.3,Percentage of total population,3.9,531.57,60333.0,6010.830000000001
Below 60%,Total,Czechia,2015,11.0,Total,Age in completed years,29602.0,Total,Total,48.0,16230.0,136.6,Percentage of total population,3.3,450.78,53559.0,6556.799999999999
Below 60%,Total,Czechia,2016,9.9,Total,Age in completed years,64083.0,Total,Total,45.4,16640.0,136.8,Percentage of total population,2.6,355.68000000000006,43264.0,6210.72
Below 60%,Total,Czechia,2017,4.8,Total,Age in completed years,51847.0,Total,Total,44.2,17490.0,137.2,Percentage of total population,1.9,260.67999999999995,33231.0,6064.24
Below 60%,Total,Czechia,2018,5.3,Total,Age in completed years,65910.0,Total,Total,41.9,17960.0,137.7,Percentage of total population,1.5,206.54999999999998,26940.0,5769.629999999999
Below 60%,Total,Czechia,2019,7.6,Total,Age in completed years,105888.0,Total,Total,37.9,18570.0,138.2,Percentage of total population,1.3,179.66,24141.0,5237.78
Below 60%,Total,Czechia,2020,5.2,Total,Age in completed years,63095.0,Total,Total,38.9,17670.0,138.2,Percentage of total population,1.7,234.93999999999997,30039.0,5375.98
Below 60%,Total,Czechia,2023,10.9,Total,Age in completed years,142149.0,Total,Total,47.4,18260.0,140.7,Percentage of total population,1.7,239.18999999999997,31042.0,6669.179999999999
Below 60%,Total,Denmark,2014,6.9,Total,Age in completed years,68388.0,Total,Total,68.1,47240.0,131.5,Percentage of total population,4.7,618.0500000000001,222028.0,8955.15
Below 60%,Total,Denmark,2015,10.4,Total,Age in completed years,78492.0,Total,Total,66.8,47900.0,132.4,Percentage of total population,4.2,556.08,201180.0,8844.32
Below 60%,Total,Denmark,2016,4.3,Total,Age in completed years,74383.0,Total,Total,74.2,48970.0,136.4,Percentage of total population,4.1,559.24,200776.99999999997,10120.880000000001
Below 60%,Total,Denmark,2017,9.7,Total,Age in completed years,68579.0,Total,Total,75.4,50150.0,137.3,Percentage of total population,4.0,549.2,200600.0,10352.420000000002
Below 60%,Total,Denmark,2018,12.4,Total,Age in completed years,64669.0,Total,Total,69.7,50830.0,138.0,Percentage of total population,3.5,483.0,177905.0,9618.6
Below 60%,Total,Denmark,2019,11.7,Total,Age in completed years,61384.0,Total,Total,74.1,51500.0,138.5,Percentage of total population,3.5,484.75,180250.0,10262.849999999999
Below 60%,Total,Denmark,2020,11.8,Total,Age in completed years,57230.0,Total,Total,70.2,50470.0,138.5,Percentage of total population,3.9,540.15,196833.0,9722.7
Below 60%,Total,Denmark,2023,5.0,Total,Age in completed years,98344.0,Total,Total,72.3,53230.0,141.6,Percentage of total population,3.7,523.92,196951.0,10237.679999999998
Below 60%,Total,Germany,2014,6.1,Total,Age in completed years,898840.0,Total,Total,54.4,37600.0,226.5,Percentage of total population,3.2,724.8000000000001,120320.0,12321.6
Below 60%,Total,Germany,2015,5.2,Total,Age in completed years,1595865.0,Total,Total,51.9,37950.0,228.4,Percentage of total population,2.9,662.36,110055.0,11853.96
Below 60%,Total,Germany,2016,6.0,Total,Age in completed years,1042484.0,Total,Total,50.3,38550.0,233.1,Percentage of total population,2.6,606.0600000000001,100230.0,11724.929999999998
Below 60%,Total,Germany,2017,5.4,Total,Age in completed years,900291.0,Total,Total,48.5,39540.0,234.0,Percentage of total population,2.4,561.6,94896.0,11349.0
Below 60%,Total,Germany,2018,5.9,Total,Age in completed years,855708.0,Total,Total,49.5,39930.0,234.7,Percentage of total population,2.2,516.34,87846.0,11617.65
Below 60%,Total,Germany,2019,5.5,Total,Age in completed years,834338.0,Total,Total,48.3,40300.0,235.2,Percentage of total population,2.0,470.4,80600.0,11360.159999999998
Below 60%,Total,Germany,2020,2.6,Total,Age in completed years,666639.0,Total,Total,39.4,38670.0,235.2,Percentage of total population,2.5,588.0,96675.0,9266.88
Below 60%,Total,Germany,2023,4.8,Total,Age in completed years,1303251.0,Total,Total,43.2,39990.0,235.8,Percentage of total population,2.2,518.7600000000001,87978.0,10186.560000000001
Below 60%,Total,Estonia,2014,6.9,Total,Age in completed years,3904.0,Total,Total,30.8,15680.0,30.3,Percentage of total population,5.0,151.5,78400.0,933.24
Below 60%,Total,Estonia,2015,4.5,Total,Age in completed years,15413.0,Total,Total,25.8,16000.0,30.3,Percentage of total population,4.5,136.35,72000.0,781.74
Below 60%,Total,Estonia,2016,4.6,Total,Age in completed years,14822.0,Total,Total,19.3,16460.0,30.3,Percentage of total population,4.9,148.47000000000003,80654.0,584.7900000000001
Below 60%,Total,Estonia,2017,4.0,Total,Age in completed years,17616.0,Total,Total,18.4,17390.0,30.3,Percentage of total population,4.2,127.26,73038.0,557.52
Below 60%,Total,Estonia,2018,2.8,Total,Age in completed years,17547.0,Total,Total,16.1,17990.0,30.4,Percentage of total population,3.9,118.55999999999999,70161.0,489.44
Below 60%,Total,Estonia,2019,4.5,Total,Age in completed years,18259.0,Total,Total,16.2,18580.0,30.5,Percentage of total population,3.2,97.60000000000001,59456.0,494.09999999999997
Below 60%,Total,Estonia,2020,3.7,Total,Age in completed years,16209.0,Total,Total,16.9,17990.0,30.5,Percentage of total population,5.0,152.5,89950.0,515.4499999999999
Below 60%,Total,Estonia,2023,4.5,Total,Age in completed years,26399.0,Total,Total,27.8,18200.0,31.8,Percentage of total population,4.7,149.46,85540.0,884.0400000000001
Below 60%,Total,Ireland,2014,2.7,Total,Age in completed years,73519.0,Total,Total,26.7,46960.0,67.8,Percentage of total population,7.8,528.8399999999999,366288.0,1810.2599999999998
Below 60%,Total,Ireland,2015,2.2,Total,Age in completed years,80792.0,Total,Total,18.3,57980.0,68.5,Percentage of total population,6.6,452.09999999999997,382668.0,1253.55
Below 60%,Total,Ireland,2016,3.0,Total,Age in completed years,93378.0,Total,Total,18.6,57990.0,69.3,Percentage of total population,5.6,388.08,324744.0,1288.98
Below 60%,Total,Ireland,2017,1.7,Total,Age in completed years,84743.0,Total,Total,19.9,62950.0,70.0,Percentage of total population,4.5,315.0,283275.0,1393.0
Below 60%,Total,Ireland,2018,1.5,Total,Age in completed years,105699.0,Total,Total,14.6,66830.0,70.9,Percentage of total population,3.9,276.51,260637.0,1035.14
Below 60%,Total,Ireland,2019,4.1,Total,Age in completed years,96321.0,Total,Total,22.6,69060.0,71.9,Percentage of total population,3.3,237.27,227898.0,1624.9400000000003
Below 60%,Total,Ireland,2020,5.2,Total,Age in completed years,81918.0,Total,Total,18.1,73020.0,71.9,Percentage of total population,3.8,273.22,277476.0,1301.39
Below 60%,Total,Greece,2014,11.6,Total,Age in completed years,59013.0,Total,Total,93.3,16140.0,82.5,Percentage of total population,15.7,1295.25,253398.0,7697.25
Below 60%,Total,Greece,2015,12.1,Total,Age in completed years,64446.0,Total,Total,94.0,16210.0,82.7,Percentage of total population,14.8,1223.96,239908.0,7773.8
Below 60%,Total,Greece,2016,11.9,Total,Age in completed years,116867.0,Total,Total,91.9,16270.0,82.4,Percentage of total population,14.2,1170.08,231034.0,7572.560000000001
Below 60%,Total,Greece,2017,12.1,Total,Age in completed years,112247.0,Total,Total,89.7,16540.0,82.2,Percentage of total population,13.0,1068.6000000000001,215020.0,7373.34
Below 60%,Total,Greece,2018,12.1,Total,Age in completed years,119489.0,Total,Total,90.7,16920.0,82.5,Percentage of total population,11.7,965.2499999999999,197964.0,7482.75
Below 60%,Total,Greece,2019,11.7,Total,Age in completed years,129459.0,Total,Total,88.2,17320.0,82.4,Percentage of total population,10.7,881.68,185324.0,7267.68
Below 60%,Total,Greece,2020,13.7,Total,Age in completed years,84221.0,Total,Total,83.4,15760.0,82.4,Percentage of total population,10.0,824.0,157600.0,6872.160000000001
Below 60%,Total,Greece,2023,14.8,Total,Age in completed years,116591.0,Total,Total,86.3,18720.0,80.0,Percentage of total population,6.7,536.0,125424.0,6904.0
Below 60%,Total,Spain,2014,5.2,Total,Age in completed years,305454.0,Total,Total,39.6,22500.0,92.5,Percentage of total population,16.0,1480.0,360000.0,3663.0
Below 60%,Total,Spain,2015,3.4,Total,Age in completed years,342114.0,Total,Total,38.1,23440.0,92.5,Percentage of total population,14.5,1341.25,339880.0,3524.25
Below 60%,Total,Spain,2016,4.6,Total,Age in completed years,414746.0,Total,Total,36.4,24100.0,92.5,Percentage of total population,12.8,1184.0,308480.0,3367.0
Below 60%,Total,Spain,2017,2.7,Total,Age in completed years,532132.0,Total,Total,36.5,24750.0,92.7,Percentage of total population,11.2,1038.24,277200.0,3383.55
Below 60%,Total,Spain,2018,4.9,Total,Age in completed years,643684.0,Total,Total,32.9,25230.0,93.1,Percentage of total population,9.9,921.6899999999999,249777.0,3062.99
Below 60%,Total,Spain,2019,4.6,Total,Age in completed years,750480.0,Total,Total,31.8,25520.0,93.8,Percentage of total population,9.1,853.5799999999999,232232.0,2982.84
Below 60%,Total,Spain,2020,9.2,Total,Age in completed years,467918.0,Total,Total,30.6,22610.0,93.8,Percentage of total population,9.9,928.62,223839.0,2870.28
Below 60%,Total,Spain,2023,6.7,Total,Age in completed years,1250991.0,Total,Total,31.7,25740.0,96.2,Percentage of total population,8.0,769.6,205920.0,3049.54
Below 60%,Total,France,2014,8.3,Total,Age in completed years,340383.0,Total,Total,20.9,32990.0,104.6,Percentage of total population,6.5,679.9,214435.0,2186.14
Below 60%,Total,France,2015,7.8,Total,Age in completed years,364221.0,Total,Total,21.5,33200.0,105.1,Percentage of total population,6.5,683.15,215800.0,2259.65
Below 60%,Total,France,2016,9.8,Total,Age in completed years,377709.0,Total,Total,22.3,33360.0,105.3,Percentage of total population,6.3,663.39,210168.0,2348.19
Below 60%,Total,France,2017,5.4,Total,Age in completed years,369621.0,Total,Total,20.2,33920.0,105.6,Percentage of total population,5.9,623.04,200128.0,2133.12
Below 60%,Total,France,2018,8.3,Total,Age in completed years,387160.0,Total,Total,20.3,34320.0,105.9,Percentage of total population,5.7,603.63,195624.0,2149.77
Below 60%,Total,France,2019,7.3,Total,Age in completed years,385596.0,Total,Total,22.8,34880.0,106.1,Percentage of total population,5.3,562.3299999999999,184864.0,2419.08
Below 60%,Total,France,2020,10.6,Total,Age in completed years,331137.0,Total,Total,24.6,32130.0,106.3,Percentage of total population,5.0,531.5,160650.0,2614.98
Below 60%,Total,France,2023,13.7,Total,Age in completed years,467548.0,Total,Total,27.9,35410.0,107.9,Percentage of total population,4.7,507.13000000000005,166427.0,3010.41
Below 60%,Total,Croatia,2014,13.1,Total,Age in completed years,10638.0,Total,Total,30.0,10600.0,74.9,Percentage of total population,10.0,749.0,106000.0,2247.0
Below 60%,Total,Croatia,2015,13.9,Total,Age in completed years,11706.0,Total,Total,31.1,10960.0,74.4,Percentage of total population,9.5,706.8000000000001,104120.0,2313.84
Below 60%,Total,Croatia,2016,12.8,Total,Age in completed years,13985.0,Total,Total,29.4,11480.0,74.6,Percentage of total population,7.4,552.04,84952.0,2193.24
Below 60%,Total,Croatia,2017,12.6,Total,Age in completed years,15553.0,Total,Total,26.2,12040.0,73.9,Percentage of total population,6.4,472.96000000000004,77056.0,1936.18
Below 60%,Total,Croatia,2018,10.9,Total,Age in completed years,26029.0,Total,Total,24.4,12550.0,73.2,Percentage of total population,4.7,344.04,58985.0,1786.08
Below 60%,Total,Croatia,2019,11.6,Total,Age in completed years,37726.0,Total,Total,23.3,13070.0,72.8,Percentage of total population,3.7,269.36,48359.0,1696.24
Below 60%,Total,Croatia,2020,7.8,Total,Age in completed years,33414.0,Total,Total,20.5,12100.0,72.8,Percentage of total population,4.2,305.76,50820.0,1492.3999999999999
Below 60%,Total,Croatia,2023,6.0,Total,Age in completed years,69396.0,Total,Total,19.4,15370.0,69.0,Percentage of total population,3.6,248.4,55332.0,1338.6
Below 60%,Total,Italy,2014,17.6,Total,Age in completed years,277631.0,Total,Total,31.9,27330.0,206.0,Percentage of total population,7.1,1462.6,194043.0,6571.4
Below 60%,Total,Italy,2015,18.9,Total,Age in completed years,280078.0,Total,Total,32.9,27620.0,205.8,Percentage of total population,6.7,1378.8600000000001,185054.0,6770.82
Below 60%,Total,Italy,2016,14.3,Total,Age in completed years,300823.0,Total,Total,35.8,28010.0,205.4,Percentage of total population,6.6,1355.6399999999999,184866.0,7353.32
Below 60%,Total,Italy,2017,9.3,Total,Age in completed years,343440.0,Total,Total,32.9,28510.0,203.3,Percentage of total population,6.4,1301.1200000000001,182464.0,6688.57
Below 60%,Total,Italy,2018,9.7,Total,Age in completed years,332324.0,Total,Total,32.9,28810.0,202.9,Percentage of total population,6.1,1237.69,175741.0,6675.41
Below 60%,Total,Italy,2019,7.1,Total,Age in completed years,332778.0,Total,Total,34.8,29000.0,201.5,Percentage of total population,5.7,1148.55,165300.0,7012.2
Below 60%,Total,Italy,2020,10.0,Total,Age in completed years,247526.0,Total,Total,28.6,26560.0,200.6,Percentage of total population,5.2,1043.1200000000001,138112.0,5737.16
Below 60%,Total,Italy,2023,8.9,Total,Age in completed years,439658.0,Total,Total,22.2,30840.0,198.1,Percentage of total population,4.4,871.6400000000001,135696.0,4397.82
Below 60%,Total,Cyprus,2014,2.9,Total,Age in completed years,13003.0,Total,Total,14.4,20170.0,92.5,Percentage of total population,11.0,1017.5,221870.0,1332.0
Below 60%,Total,Cyprus,2015,1.0,Total,Age in completed years,15364.0,Total,Total,13.1,20810.0,92.0,Percentage of total population,10.0,920.0,208100.0,1205.2
Below 60%,Total,Cyprus,2016,3.7,Total,Age in completed years,18590.0,Total,Total,12.6,22060.0,92.4,Percentage of total population,8.6,794.64,189716.0,1164.24
Below 60%,Total,Cyprus,2017,3.9,Total,Age in completed years,22458.0,Total,Total,10.3,23130.0,93.3,Percentage of total population,7.4,690.42,171162.0,960.99
Below 60%,Total,Cyprus,2018,3.2,Total,Age in completed years,25740.0,Total,Total,6.6,24300.0,94.4,Percentage of total population,5.7,538.08,138510.0,623.04
Below 60%,Total,Cyprus,2019,5.0,Total,Age in completed years,27553.0,Total,Total,10.0,25390.0,95.7,Percentage of total population,4.9,468.93000000000006,124411.00000000001,957.0
Below 60%,Total,Cyprus,2020,3.2,Total,Age in completed years,22850.0,Total,Total,6.8,24240.0,95.7,Percentage of total population,5.2,497.64000000000004,126048.0,650.76
Below 60%,Total,Cyprus,2023,2.9,Total,Age in completed years,40761.0,Total,Total,7.9,28860.0,104.0,Percentage of total population,4.1,426.4,118325.99999999999,821.6
Below 60%,Total,Latvia,2014,27.3,Total,Age in completed years,10365.0,Total,Total,32.5,11470.0,32.0,Percentage of total population,7.2,230.4,82584.0,1040.0
Below 60%,Total,Latvia,2015,27.3,Total,Age in completed years,9479.0,Total,Total,25.9,12010.0,31.8,Percentage of total population,6.7,213.06,80467.0,823.62
Below 60%,Total,Latvia,2016,24.2,Total,Age in completed years,8345.0,Total,Total,25.2,12430.0,31.0,Percentage of total population,6.6,204.6,82038.0,781.1999999999999
Below 60%,Total,Latvia,2017,23.4,Total,Age in completed years,9916.0,Total,Total,25.6,12970.0,30.7,Percentage of total population,6.0,184.2,77820.0,785.9200000000001
Below 60%,Total,Latvia,2018,21.1,Total,Age in completed years,10909.0,Total,Total,23.0,13630.0,30.4,Percentage of total population,5.2,158.07999999999998,70876.0,699.1999999999999
Below 60%,Total,Latvia,2019,16.7,Total,Age in completed years,11223.0,Total,Total,19.4,13820.0,30.2,Percentage of total population,4.4,132.88,60808.00000000001,585.88
Below 60%,Total,Latvia,2020,16.5,Total,Age in completed years,8840.0,Total,Total,17.4,13430.0,30.2,Percentage of total population,5.7,172.14000000000001,76551.0,525.4799999999999
Below 60%,Total,Latvia,2023,16.5,Total,Age in completed years,15629.0,Total,Total,25.9,14640.0,30.2,Percentage of total population,4.5,135.9,65880.0,782.18
Below 60%,Total,Lithuania,2014,18.2,Total,Age in completed years,33544.0,Total,Total,27.4,12400.0,46.8,Percentage of total population,7.1,332.28,88040.0,1282.32
Below 60%,Total,Lithuania,2015,19.1,Total,Age in completed years,31085.0,Total,Total,32.2,12860.0,46.4,Percentage of total population,6.1,283.03999999999996,78446.0,1494.0800000000002
Below 60%,Total,Lithuania,2016,19.1,Total,Age in completed years,31395.0,Total,Total,29.6,13360.0,45.8,Percentage of total population,5.3,242.73999999999998,70808.0,1355.68
Below 60%,Total,Lithuania,2017,16.2,Total,Age in completed years,33305.0,Total,Total,26.8,14150.0,45.2,Percentage of total population,4.8,216.96,67920.0,1211.3600000000001
Below 60%,Total,Lithuania,2018,10.5,Total,Age in completed years,37420.0,Total,Total,22.3,14970.0,44.7,Percentage of total population,4.3,192.21,64371.0,996.8100000000001
Below 60%,Total,Lithuania,2019,12.4,Total,Age in completed years,46526.0,Total,Total,19.8,15710.0,44.6,Percentage of total population,4.4,196.24,69124.0,883.08
Below 60%,Total,Lithuania,2020,9.2,Total,Age in completed years,46020.0,Total,Total,11.6,15720.0,44.6,Percentage of total population,6.0,267.6,94320.0,517.36
Below 60%,Total,Lithuania,2023,4.3,Total,Age in completed years,66682.0,Total,Total,20.8,16900.0,45.8,Percentage of total population,4.8,219.83999999999997,81120.0,952.64
Below 60%,Total,Luxembourg,2014,5.4,Total,Age in completed years,22332.0,Total,Total,30.9,94820.0,215.1,Percentage of total population,3.7,795.87,350834.0,6646.589999999999
Below 60%,Total,Luxembourg,2015,6.8,Total,Age in completed years,23803.0,Total,Total,27.9,95090.0,220.3,Percentage of total population,4.3,947.29,408887.0,6146.37
