rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,North Macedonia,2024,5.6
Total,Total,Total,Albania,2017,9.2
Total,Total,Total,Albania,2018,6.0
Total,Total,Total,Albania,2019,5.5
Total,Total,Total,Albania,2020,3.8
Total,Total,Total,Albania,2021,3.3
Total,Total,Total,Albania,2022,2.8
Total,Total,Total,Albania,2023,2.1
Total,Total,Total,Serbia,2013,28.0
Total,Total,Total,Serbia,2014,31.7
Total,Total,Total,Serbia,2015,33.7
Total,Total,Total,Serbia,2016,31.0
Total,Total,Total,Serbia,2017,33.6
Total,Total,Total,Serbia,2018,31.3
Total,Total,Total,Serbia,2019,22.7
Total,Total,Total,Serbia,2020,19.5
Total,Total,Total,Serbia,2021,16.6
Total,Total,Total,Serbia,2022,14.8
Total,Total,Total,Serbia,2023,15.4
Total,Total,Total,Serbia,2024,11.4
Total,Total,Total,Serbia,2025,7.9
Total,Total,Total,Türkiye,2006,13.7
Total,Total,Total,Türkiye,2007,9.1
Total,Total,Total,Türkiye,2008,10.4
Total,Total,Total,Türkiye,2009,11.2
Total,Total,Total,Türkiye,2010,11.0
Total,Total,Total,Türkiye,2011,10.7
Total,Total,Total,Türkiye,2012,9.8
Total,Total,Total,Türkiye,2013,11.7
Total,Total,Total,Türkiye,2014,10.3
Total,Total,Total,Türkiye,2015,10.5
Total,Total,Total,Türkiye,2016,10.1
Total,Total,Total,Türkiye,2017,9.5
Total,Total,Total,Türkiye,2018,9.7
Total,Total,Total,Türkiye,2019,10.5
Total,Total,Total,Türkiye,2020,10.2
Total,Total,Total,Türkiye,2021,11.5
Total,Total,Total,Türkiye,2022,11.2
Total,Total,Total,Türkiye,2023,14.4
Total,Total,Total,Türkiye,2024,14.8
Total,Total,Total,Türkiye,2025,10.0
Total,Total,Total,Kosovo*,2018,11.3
Above 60%,Total,Total,Belgium,2004,6.6
Above 60%,Total,Total,Belgium,2005,4.8
Above 60%,Total,Total,Belgium,2006,4.4
Above 60%,Total,Total,Belgium,2007,5.0
Above 60%,Total,Total,Belgium,2008,7.1
Above 60%,Total,Total,Belgium,2009,3.9
Above 60%,Total,Total,Belgium,2010,4.0
Above 60%,Total,Total,Belgium,2011,4.8
Above 60%,Total,Total,Belgium,2012,5.1
Above 60%,Total,Total,Belgium,2013,4.4
Above 60%,Total,Total,Belgium,2014,4.5
Above 60%,Total,Total,Belgium,2015,4.5
Above 60%,Total,Total,Belgium,2016,4.5
Above 60%,Total,Total,Belgium,2017,4.5
Above 60%,Total,Total,Belgium,2018,3.5
Above 60%,Total,Total,Belgium,2019,4.1
Above 60%,Total,Total,Belgium,2020,3.5
Above 60%,Total,Total,Belgium,2021,3.8
Above 60%,Total,Total,Belgium,2022,3.8
Above 60%,Total,Total,Belgium,2023,4.1
Above 60%,Total,Total,Belgium,2024,3.3
Above 60%,Total,Total,Belgium,2025,3.7
Above 60%,Total,Total,Bulgaria,2006,7.7
Above 60%,Total,Total,Bulgaria,2007,11.3
Above 60%,Total,Total,Bulgaria,2008,8.0
Above 60%,Total,Total,Bulgaria,2009,2.3
Above 60%,Total,Total,Bulgaria,2010,2.2
Above 60%,Total,Total,Bulgaria,2011,3.9
Above 60%,Total,Total,Bulgaria,2012,6.0
Above 60%,Total,Total,Bulgaria,2013,7.9
Above 60%,Total,Total,Bulgaria,2014,5.2
Above 60%,Total,Total,Bulgaria,2015,6.4
Above 60%,Total,Total,Bulgaria,2016,10.4
Above 60%,Total,Total,Bulgaria,2017,9.4
Above 60%,Total,Total,Bulgaria,2018,8.7
Above 60%,Total,Total,Bulgaria,2019,6.6
Above 60%,Total,Total,Bulgaria,2020,5.9
Above 60%,Total,Total,Bulgaria,2021,4.3
Above 60%,Total,Total,Bulgaria,2022,4.7
Above 60%,Total,Total,Bulgaria,2023,3.8
Above 60%,Total,Total,Bulgaria,2024,2.1
Above 60%,Total,Total,Bulgaria,2025,1.5
Above 60%,Total,Total,Czechia,2005,6.8
Above 60%,Total,Total,Czechia,2006,7.8
Above 60%,Total,Total,Czechia,2007,7.3
Above 60%,Total,Total,Czechia,2008,9.3
Above 60%,Total,Total,Czechia,2009,5.8
Above 60%,Total,Total,Czechia,2010,5.7
Above 60%,Total,Total,Czechia,2011,5.9
Above 60%,Total,Total,Czechia,2012,6.2
Above 60%,Total,Total,Czechia,2013,7.9
Above 60%,Total,Total,Czechia,2014,6.9
Above 60%,Total,Total,Czechia,2015,6.3
Above 60%,Total,Total,Czechia,2016,5.7
Above 60%,Total,Total,Czechia,2017,5.1
Above 60%,Total,Total,Czechia,2018,4.2
Above 60%,Total,Total,Czechia,2019,3.4
Above 60%,Total,Total,Czechia,2020,3.1
Above 60%,Total,Total,Czechia,2021,3.2
Above 60%,Total,Total,Czechia,2022,3.6
Above 60%,Total,Total,Czechia,2023,5.0
Above 60%,Total,Total,Czechia,2024,5.2
Above 60%,Total,Total,Czechia,2025,4.5
Above 60%,Total,Total,Denmark,2005,7.6
Above 60%,Total,Total,Denmark,2006,9.4
Above 60%,Total,Total,Denmark,2007,7.5
Above 60%,Total,Total,Denmark,2008,11.2
Above 60%,Total,Total,Denmark,2009,17.2
Above 60%,Total,Total,Denmark,2010,14.4
Above 60%,Total,Total,Denmark,2011,11.3
Above 60%,Total,Total,Denmark,2012,9.5
Above 60%,Total,Total,Denmark,2013,10.2
Above 60%,Total,Total,Denmark,2014,8.5
Above 60%,Total,Total,Denmark,2015,7.9
Above 60%,Total,Total,Denmark,2016,7.1
Above 60%,Total,Total,Denmark,2017,7.4
Above 60%,Total,Total,Denmark,2018,6.8
Above 60%,Total,Total,Denmark,2019,7.2
Above 60%,Total,Total,Denmark,2020,6.5
Above 60%,Total,Total,Denmark,2021,7.5
Above 60%,Total,Total,Denmark,2022,6.8
Above 60%,Total,Total,Denmark,2023,7.8
Above 60%,Total,Total,Denmark,2024,7.8
Above 60%,Total,Total,Denmark,2025,17.2
Above 60%,Total,Total,Germany,2010,9.4
Above 60%,Total,Total,Germany,2011,10.5
Above 60%,Total,Total,Germany,2012,9.9
Above 60%,Total,Total,Germany,2013,10.1
Above 60%,Total,Total,Germany,2014,8.3
Above 60%,Total,Total,Germany,2015,8.4
Above 60%,Total,Total,Germany,2016,9.1
Above 60%,Total,Total,Germany,2017,7.9
Above 60%,Total,Total,Germany,2018,7.5
Above 60%,Total,Total,Germany,2019,8.0
Above 60%,Total,Total,Germany,2020,3.3
Above 60%,Total,Total,Germany,2021,5.1
Above 60%,Total,Total,Germany,2022,6.9
Above 60%,Total,Total,Germany,2023,7.9
Above 60%,Total,Total,Germany,2024,7.3
Above 60%,Total,Total,Germany,2025,6.6
Above 60%,Total,Total,Estonia,2005,2.6
Above 60%,Total,Total,Estonia,2006,1.8
Above 60%,Total,Total,Estonia,2007,1.9
Above 60%,Total,Total,Estonia,2008,1.3
Above 60%,Total,Total,Estonia,2009,1.8
Above 60%,Total,Total,Estonia,2010,2.2
Above 60%,Total,Total,Estonia,2011,2.8
Above 60%,Total,Total,Estonia,2012,2.6
Above 60%,Total,Total,Estonia,2013,2.2
Above 60%,Total,Total,Estonia,2014,2.0
Above 60%,Total,Total,Estonia,2015,1.6
Above 60%,Total,Total,Estonia,2016,0.9
Above 60%,Total,Total,Estonia,2017,1.1
Above 60%,Total,Total,Estonia,2018,0.6
Above 60%,Total,Total,Estonia,2019,1.2
Above 60%,Total,Total,Estonia,2020,1.1
Above 60%,Total,Total,Estonia,2021,0.7
Above 60%,Total,Total,Estonia,2022,1.2
Above 60%,Total,Total,Estonia,2023,1.8
Above 60%,Total,Total,Estonia,2024,3.3
Above 60%,Total,Total,Estonia,2025,2.9
Above 60%,Total,Total,Ireland,2003,2.4
Above 60%,Total,Total,Ireland,2004,0.9
Above 60%,Total,Total,Ireland,2005,1.0
Above 60%,Total,Total,Ireland,2006,1.2
Above 60%,Total,Total,Ireland,2007,1.2
Above 60%,Total,Total,Ireland,2008,1.7
Above 60%,Total,Total,Ireland,2009,1.6
Above 60%,Total,Total,Ireland,2010,1.7
Above 60%,Total,Total,Ireland,2011,2.3
Above 60%,Total,Total,Ireland,2012,2.2
Above 60%,Total,Total,Ireland,2013,1.6
Above 60%,Total,Total,Ireland,2014,2.3
Above 60%,Total,Total,Ireland,2015,2.1
Above 60%,Total,Total,Ireland,2016,1.7
Above 60%,Total,Total,Ireland,2017,1.7
Above 60%,Total,Total,Ireland,2018,1.5
Above 60%,Total,Total,Ireland,2019,2.5
Above 60%,Total,Total,Ireland,2020,2.2
Above 60%,Total,Total,Ireland,2021,1.6
Above 60%,Total,Total,Ireland,2022,1.9
Above 60%,Total,Total,Ireland,2023,2.5
Above 60%,Total,Total,Ireland,2024,2.7
Above 60%,Total,Total,Ireland,2025,3.5
Above 60%,Total,Total,Greece,2004,13.2
Above 60%,Total,Total,Greece,2005,12.2
Above 60%,Total,Total,Greece,2006,13.3
Above 60%,Total,Total,Greece,2007,3.2
Above 60%,Total,Total,Greece,2008,11.3
Above 60%,Total,Total,Greece,2009,10.6
Above 60%,Total,Total,Greece,2010,5.5
Above 60%,Total,Total,Greece,2011,9.4
Above 60%,Total,Total,Greece,2012,15.8
Above 60%,Total,Total,Greece,2013,19.9
Above 60%,Total,Total,Greece,2014,31.2
Above 60%,Total,Total,Greece,2015,32.3
Above 60%,Total,Total,Greece,2016,26.7
Above 60%,Total,Total,Greece,2017,26.8
Above 60%,Total,Total,Greece,2018,27.8
Above 60%,Total,Total,Greece,2019,24.8
Above 60%,Total,Total,Greece,2020,22.5
Above 60%,Total,Total,Greece,2021,17.1
Above 60%,Total,Total,Greece,2022,13.3
Above 60%,Total,Total,Greece,2023,15.1
Above 60%,Total,Total,Greece,2024,14.2
Above 60%,Total,Total,Greece,2025,12.7
Above 60%,Total,Total,Spain,2004,2.2
Above 60%,Total,Total,Spain,2005,2.7
Above 60%,Total,Total,Spain,2006,2.9
Above 60%,Total,Total,Spain,2007,3.8
Above 60%,Total,Total,Spain,2008,3.8
Above 60%,Total,Total,Spain,2009,4.0
Above 60%,Total,Total,Spain,2010,3.0
Above 60%,Total,Total,Spain,2011,3.3
Above 60%,Total,Total,Spain,2012,3.0
Above 60%,Total,Total,Spain,2013,3.2
Above 60%,Total,Total,Spain,2014,2.7
Above 60%,Total,Total,Spain,2015,2.5
Above 60%,Total,Total,Spain,2016,2.6
Above 60%,Total,Total,Spain,2017,2.5
Above 60%,Total,Total,Spain,2018,2.3
Above 60%,Total,Total,Spain,2019,2.5
Above 60%,Total,Total,Spain,2020,2.2
Above 60%,Total,Total,Spain,2021,2.6
Above 60%,Total,Total,Spain,2022,2.4
Above 60%,Total,Total,Spain,2023,2.3
Above 60%,Total,Total,Spain,2024,2.4
Above 60%,Total,Total,Spain,2025,2.1
Above 60%,Total,Total,France,2004,3.5
Above 60%,Total,Total,France,2005,3.6
Above 60%,Total,Total,France,2006,3.6
Above 60%,Total,Total,France,2007,3.8
Above 60%,Total,Total,France,2008,2.6
Above 60%,Total,Total,France,2009,2.4
Above 60%,Total,Total,France,2010,2.5
Above 60%,Total,Total,France,2011,2.5
Above 60%,Total,Total,France,2012,2.4
Above 60%,Total,Total,France,2013,2.4
Above 60%,Total,Total,France,2014,2.7
Above 60%,Total,Total,France,2015,3.2
Above 60%,Total,Total,France,2016,2.5
Above 60%,Total,Total,France,2017,2.7
Above 60%,Total,Total,France,2018,2.2
Above 60%,Total,Total,France,2019,2.8
Above 60%,Total,Total,France,2020,2.6
Above 60%,Total,Total,France,2022,3.0
Above 60%,Total,Total,France,2023,2.7
Above 60%,Total,Total,France,2024,3.0
Above 60%,Total,Total,France,2025,2.7
Above 60%,Total,Total,Croatia,2010,5.2
Above 60%,Total,Total,Croatia,2011,1.8
Above 60%,Total,Total,Croatia,2012,1.3
Above 60%,Total,Total,Croatia,2013,2.1
Above 60%,Total,Total,Croatia,2014,2.2
Above 60%,Total,Total,Croatia,2015,1.3
Above 60%,Total,Total,Croatia,2016,1.0
Above 60%,Total,Total,Croatia,2017,0.7
Above 60%,Total,Total,Croatia,2018,0.6
Above 60%,Total,Total,Croatia,2019,0.6
Above 60%,Total,Total,Croatia,2020,0.6
Above 60%,Total,Total,Croatia,2021,0.5
Above 60%,Total,Total,Croatia,2022,0.4
Above 60%,Total,Total,Croatia,2023,0.4
Above 60%,Total,Total,Croatia,2024,0.3
Above 60%,Total,Total,Croatia,2025,0.4
Above 60%,Total,Total,Italy,2004,6.3
Above 60%,Total,Total,Italy,2005,6.4
Above 60%,Total,Total,Italy,2006,6.3
Above 60%,Total,Total,Italy,2007,3.0
Above 60%,Total,Total,Italy,2008,3.8
Above 60%,Total,Total,Italy,2009,3.3
Above 60%,Total,Total,Italy,2010,2.6
Above 60%,Total,Total,Italy,2011,2.9
Above 60%,Total,Total,Italy,2012,2.8
Above 60%,Total,Total,Italy,2013,3.3
Above 60%,Total,Total,Italy,2014,2.9
Above 60%,Total,Total,Italy,2015,2.5
Above 60%,Total,Total,Italy,2016,2.7
Above 60%,Total,Total,Italy,2017,1.9
Above 60%,Total,Total,Italy,2018,1.9
Above 60%,Total,Total,Italy,2019,2.1
Above 60%,Total,Total,Italy,2020,1.8
Above 60%,Total,Total,Italy,2021,1.9
Above 60%,Total,Total,Italy,2022,2.3
Above 60%,Total,Total,Italy,2023,1.8
Above 60%,Total,Total,Italy,2024,1.2
Above 60%,Total,Total,Italy,2025,1.2
Above 60%,Total,Total,Cyprus,2005,2.9
Above 60%,Total,Total,Cyprus,2006,1.4
Above 60%,Total,Total,Cyprus,2007,0.7
Above 60%,Total,Total,Cyprus,2008,1.0
Above 60%,Total,Total,Cyprus,2009,1.1
Above 60%,Total,Total,Cyprus,2010,1.6
Above 60%,Total,Total,Cyprus,2011,1.8
Above 60%,Total,Total,Cyprus,2012,1.6
Above 60%,Total,Total,Cyprus,2013,1.8
Above 60%,Total,Total,Cyprus,2014,2.2
Above 60%,Total,Total,Cyprus,2015,2.1
Above 60%,Total,Total,Cyprus,2016,1.3
Above 60%,Total,Total,Cyprus,2017,1.4
Above 60%,Total,Total,Cyprus,2018,1.2
Above 60%,Total,Total,Cyprus,2019,0.8
Above 60%,Total,Total,Cyprus,2020,1.1
Above 60%,Total,Total,Cyprus,2021,1.4
Above 60%,Total,Total,Cyprus,2022,1.2
Above 60%,Total,Total,Cyprus,2023,1.7
Above 60%,Total,Total,Cyprus,2024,1.2
Above 60%,Total,Total,Cyprus,2025,1.5
Above 60%,Total,Total,Latvia,2005,6.3
Above 60%,Total,Total,Latvia,2006,3.7
Above 60%,Total,Total,Latvia,2007,4.1
Above 60%,Total,Total,Latvia,2008,2.3
Above 60%,Total,Total,Latvia,2009,2.5
Above 60%,Total,Total,Latvia,2010,4.0
Above 60%,Total,Total,Latvia,2011,6.6
Above 60%,Total,Total,Latvia,2012,5.5
Above 60%,Total,Total,Latvia,2013,5.0
Above 60%,Total,Total,Latvia,2014,3.5
Above 60%,Total,Total,Latvia,2015,3.0
Above 60%,Total,Total,Latvia,2016,1.9
Above 60%,Total,Total,Latvia,2017,1.6
Above 60%,Total,Total,Latvia,2018,1.9
Above 60%,Total,Total,Latvia,2019,1.3
Above 60%,Total,Total,Latvia,2020,1.3
Above 60%,Total,Total,Latvia,2021,1.1
Above 60%,Total,Total,Latvia,2022,1.1
Above 60%,Total,Total,Latvia,2023,1.9
Above 60%,Total,Total,Latvia,2024,1.5
Above 60%,Total,Total,Latvia,2025,1.0
Above 60%,Total,Total,Lithuania,2005,3.4
Above 60%,Total,Total,Lithuania,2006,2.3
Above 60%,Total,Total,Lithuania,2007,1.2
Above 60%,Total,Total,Lithuania,2008,1.0
Above 60%,Total,Total,Lithuania,2009,1.8
Above 60%,Total,Total,Lithuania,2010,3.4
Above 60%,Total,Total,Lithuania,2011,4.8
Above 60%,Total,Total,Lithuania,2012,3.3
Above 60%,Total,Total,Lithuania,2013,2.9
Above 60%,Total,Total,Lithuania,2014,2.2
Above 60%,Total,Total,Lithuania,2015,2.5
Above 60%,Total,Total,Lithuania,2016,1.7
Above 60%,Total,Total,Lithuania,2017,1.3
Above 60%,Total,Total,Lithuania,2018,0.6
Above 60%,Total,Total,Lithuania,2019,0.9
Above 60%,Total,Total,Lithuania,2020,0.3
Above 60%,Total,Total,Lithuania,2021,0.2
Above 60%,Total,Total,Lithuania,2022,0.7
Above 60%,Total,Total,Lithuania,2023,1.1
Above 60%,Total,Total,Lithuania,2024,1.7
Above 60%,Total,Total,Lithuania,2025,1.5
Above 60%,Total,Total,Luxembourg,2003,1.2
Above 60%,Total,Total,Luxembourg,2004,1.3
Above 60%,Total,Total,Luxembourg,2005,1.0
Above 60%,Total,Total,Luxembourg,2006,1.2
Above 60%,Total,Total,Luxembourg,2007,1.0
Above 60%,Total,Total,Luxembourg,2008,1.1
Above 60%,Total,Total,Luxembourg,2009,1.0
Above 60%,Total,Total,Luxembourg,2010,1.4
Above 60%,Total,Total,Luxembourg,2011,1.1
Above 60%,Total,Total,Luxembourg,2012,1.5
Above 60%,Total,Total,Luxembourg,2013,1.8
Above 60%,Total,Total,Luxembourg,2014,2.1
Above 60%,Total,Total,Luxembourg,2015,2.1
Above 60%,Total,Total,Luxembourg,2016,2.9
Above 60%,Total,Total,Luxembourg,2017,2.6
Above 60%,Total,Total,Luxembourg,2018,3.3
Above 60%,Total,Total,Luxembourg,2019,4.3
Above 60%,Total,Total,Luxembourg,2020,3.1
Above 60%,Total,Total,Luxembourg,2021,2.5
Above 60%,Total,Total,Luxembourg,2022,4.6
Above 60%,Total,Total,Luxembourg,2023,5.8
Above 60%,Total,Total,Luxembourg,2024,4.0
Above 60%,Total,Total,Luxembourg,2025,3.9
Above 60%,Total,Total,Hungary,2005,13.7
Above 60%,Total,Total,Hungary,2006,7.0
Above 60%,Total,Total,Hungary,2007,7.0
Above 60%,Total,Total,Hungary,2008,7.3
Above 60%,Total,Total,Hungary,2009,5.0
Above 60%,Total,Total,Hungary,2010,7.7
Above 60%,Total,Total,Hungary,2011,8.5
Above 60%,Total,Total,Hungary,2012,10.6
Above 60%,Total,Total,Hungary,2013,9.7
Above 60%,Total,Total,Hungary,2014,8.3
Above 60%,Total,Total,Hungary,2015,4.5
Above 60%,Total,Total,Hungary,2016,4.7
Above 60%,Total,Total,Hungary,2017,4.7
Above 60%,Total,Total,Hungary,2018,4.2
Above 60%,Total,Total,Hungary,2019,1.7
Above 60%,Total,Total,Hungary,2020,2.7
Above 60%,Total,Total,Hungary,2021,1.0
Above 60%,Total,Total,Hungary,2022,4.1
Above 60%,Total,Total,Hungary,2023,3.9
Above 60%,Total,Total,Hungary,2024,4.8
Above 60%,Total,Total,Hungary,2025,2.7
Above 60%,Total,Total,Malta,2005,0.9
Above 60%,Total,Total,Malta,2006,0.6
Above 60%,Total,Total,Malta,2007,1.1
Above 60%,Total,Total,Malta,2008,1.6
Above 60%,Total,Total,Malta,2009,1.5
Above 60%,Total,Total,Malta,2010,1.9
Above 60%,Total,Total,Malta,2011,1.4
Above 60%,Total,Total,Malta,2012,1.0
Above 60%,Total,Total,Malta,2013,0.8
Above 60%,Total,Total,Malta,2014,0.8
Above 60%,Total,Total,Malta,2015,0.4
Above 60%,Total,Total,Malta,2016,0.6
Above 60%,Total,Total,Malta,2017,0.6
Above 60%,Total,Total,Malta,2018,0.9
Above 60%,Total,Total,Malta,2019,1.2
Above 60%,Total,Total,Malta,2020,1.3
Above 60%,Total,Total,Malta,2021,0.7
Above 60%,Total,Total,Malta,2022,1.0
Above 60%,Total,Total,Malta,2023,2.3
Above 60%,Total,Total,Malta,2024,1.9
Above 60%,Total,Total,Malta,2025,2.5
Above 60%,Total,Total,Netherlands,2005,15.9
Above 60%,Total,Total,Netherlands,2006,15.9
Above 60%,Total,Total,Netherlands,2007,13.6
Above 60%,Total,Total,Netherlands,2008,9.9
Above 60%,Total,Total,Netherlands,2009,9.3
Above 60%,Total,Total,Netherlands,2010,10.6
Above 60%,Total,Total,Netherlands,2011,11.1
Above 60%,Total,Total,Netherlands,2012,10.8
Above 60%,Total,Total,Netherlands,2013,11.9
Above 60%,Total,Total,Netherlands,2014,10.7
Above 60%,Total,Total,Netherlands,2015,10.2
Above 60%,Total,Total,Netherlands,2016,6.0
Above 60%,Total,Total,Netherlands,2017,4.6
Above 60%,Total,Total,Netherlands,2018,4.7
Above 60%,Total,Total,Netherlands,2019,5.4
Above 60%,Total,Total,Netherlands,2020,4.4
Above 60%,Total,Total,Netherlands,2021,3.9
Above 60%,Total,Total,Netherlands,2022,4.7
Above 60%,Total,Total,Netherlands,2023,5.6
Above 60%,Total,Total,Netherlands,2024,3.9
Above 60%,Total,Total,Netherlands,2025,2.9
Above 60%,Total,Total,Austria,2004,2.9
Above 60%,Total,Total,Austria,2005,1.3
Above 60%,Total,Total,Austria,2006,1.6
Above 60%,Total,Total,Austria,2007,1.9
Above 60%,Total,Total,Austria,2008,3.1
Above 60%,Total,Total,Austria,2009,2.6
Above 60%,Total,Total,Austria,2010,2.8
Above 60%,Total,Total,Austria,2011,3.1
Above 60%,Total,Total,Austria,2012,1.9
Above 60%,Total,Total,Austria,2013,1.8
Above 60%,Total,Total,Austria,2014,1.6
Above 60%,Total,Total,Austria,2015,1.8
Above 60%,Total,Total,Austria,2016,2.0
Above 60%,Total,Total,Austria,2017,1.5
Above 60%,Total,Total,Austria,2018,1.9
Above 60%,Total,Total,Austria,2019,1.9
Above 60%,Total,Total,Austria,2020,1.4
Above 60%,Total,Total,Austria,2021,1.8
Above 60%,Total,Total,Austria,2022,2.0
Above 60%,Total,Total,Austria,2023,1.3
Above 60%,Total,Total,Austria,2024,1.4
Above 60%,Total,Total,Austria,2025,1.2
Above 60%,Total,Total,Poland,2005,8.7
Above 60%,Total,Total,Poland,2006,6.6
Above 60%,Total,Total,Poland,2007,5.8
Above 60%,Total,Total,Poland,2008,5.1
Above 60%,Total,Total,Poland,2009,4.1
Above 60%,Total,Total,Poland,2010,4.6
Above 60%,Total,Total,Poland,2011,4.7
Above 60%,Total,Total,Poland,2012,5.2
Above 60%,Total,Total,Poland,2013,5.5
Above 60%,Total,Total,Poland,2014,4.8
Above 60%,Total,Total,Poland,2015,3.7
Above 60%,Total,Total,Poland,2016,2.9
Above 60%,Total,Total,Poland,2017,2.3
Above 60%,Total,Total,Poland,2018,2.1
Above 60%,Total,Total,Poland,2019,2.1
Above 60%,Total,Total,Poland,2020,1.6
Above 60%,Total,Total,Poland,2021,1.9
Above 60%,Total,Total,Poland,2022,1.9
Above 60%,Total,Total,Poland,2023,2.1
Above 60%,Total,Total,Poland,2024,1.8
Above 60%,Total,Total,Poland,2025,1.2
Above 60%,Total,Total,Portugal,2004,1.6
Above 60%,Total,Total,Portugal,2005,1.4
Above 60%,Total,Total,Portugal,2006,2.5
Above 60%,Total,Total,Portugal,2007,4.2
Above 60%,Total,Total,Portugal,2008,4.5
Above 60%,Total,Total,Portugal,2009,2.7
Above 60%,Total,Total,Portugal,2010,1.6
Above 60%,Total,Total,Portugal,2011,3.0
Above 60%,Total,Total,Portugal,2012,3.8
Above 60%,Total,Total,Portugal,2013,3.0
Above 60%,Total,Total,Portugal,2014,3.2
Above 60%,Total,Total,Portugal,2015,3.2
Above 60%,Total,Total,Portugal,2016,2.5
Above 60%,Total,Total,Portugal,2017,2.4
Above 60%,Total,Total,Portugal,2018,2.3
Above 60%,Total,Total,Portugal,2019,2.2
Above 60%,Total,Total,Portugal,2020,1.5
Above 60%,Total,Total,Portugal,2021,1.8
Above 60%,Total,Total,Portugal,2022,2.2
Above 60%,Total,Total,Portugal,2023,2.0
Above 60%,Total,Total,Portugal,2024,3.1
Above 60%,Total,Total,Portugal,2025,2.9
Above 60%,Total,Total,Romania,2007,11.6
Above 60%,Total,Total,Romania,2008,12.0
Above 60%,Total,Total,Romania,2009,9.1
Above 60%,Total,Total,Romania,2010,9.1
Above 60%,Total,Total,Romania,2011,6.9
Above 60%,Total,Total,Romania,2012,10.5
Above 60%,Total,Total,Romania,2013,9.5
Above 60%,Total,Total,Romania,2014,8.1
Above 60%,Total,Total,Romania,2015,6.9
Above 60%,Total,Total,Romania,2016,6.1
Above 60%,Total,Total,Romania,2017,4.9
Above 60%,Total,Total,Romania,2018,3.2
Above 60%,Total,Total,Romania,2019,2.1
Above 60%,Total,Total,Romania,2020,2.0
Above 60%,Total,Total,Romania,2021,2.2
Above 60%,Total,Total,Romania,2022,3.7
Above 60%,Total,Total,Romania,2023,4.0
Above 60%,Total,Total,Romania,2024,2.0
Above 60%,Total,Total,Romania,2025,2.3
Above 60%,Total,Total,Slovenia,2005,3.3
Above 60%,Total,Total,Slovenia,2006,1.2
Above 60%,Total,Total,Slovenia,2007,2.8
Above 60%,Total,Total,Slovenia,2008,2.1
Above 60%,Total,Total,Slovenia,2009,1.6
Above 60%,Total,Total,Slovenia,2010,2.0
Above 60%,Total,Total,Slovenia,2011,1.9
Above 60%,Total,Total,Slovenia,2012,2.0
Above 60%,Total,Total,Slovenia,2013,2.6
Above 60%,Total,Total,Slovenia,2014,2.6
Above 60%,Total,Total,Slovenia,2015,2.6
Above 60%,Total,Total,Slovenia,2016,2.0
Above 60%,Total,Total,Slovenia,2017,1.9
Above 60%,Total,Total,Slovenia,2018,1.9
Above 60%,Total,Total,Slovenia,2019,1.7
Above 60%,Total,Total,Slovenia,2020,1.8
Above 60%,Total,Total,Slovenia,2021,1.9
Above 60%,Total,Total,Slovenia,2022,1.5
Above 60%,Total,Total,Slovenia,2023,1.3
Above 60%,Total,Total,Slovenia,2024,1.3
Above 60%,Total,Total,Slovenia,2025,1.0
Above 60%,Total,Total,Slovakia,2005,8.7
Above 60%,Total,Total,Slovakia,2006,11.0
Above 60%,Total,Total,Slovakia,2007,13.9
Above 60%,Total,Total,Slovakia,2008,3.1
Above 60%,Total,Total,Slovakia,2009,5.5
Above 60%,Total,Total,Slovakia,2010,3.8
Above 60%,Total,Total,Slovakia,2011,3.9
Above 60%,Total,Total,Slovakia,2012,4.1
Above 60%,Total,Total,Slovakia,2013,4.2
Above 60%,Total,Total,Slovakia,2014,5.1
Above 60%,Total,Total,Slovakia,2015,5.5
Above 60%,Total,Total,Slovakia,2016,3.7
Above 60%,Total,Total,Slovakia,2017,4.1
Above 60%,Total,Total,Slovakia,2018,1.3
Above 60%,Total,Total,Slovakia,2019,2.8
Above 60%,Total,Total,Slovakia,2020,0.8
Above 60%,Total,Total,Slovakia,2021,3.5
Above 60%,Total,Total,Slovakia,2022,0.6
Above 60%,Total,Total,Slovakia,2023,1.2
Above 60%,Total,Total,Slovakia,2024,1.5
Above 60%,Total,Total,Slovakia,2025,1.8
Above 60%,Total,Total,Finland,2004,2.1
Above 60%,Total,Total,Finland,2005,1.8
Above 60%,Total,Total,Finland,2006,2.0
Above 60%,Total,Total,Finland,2007,2.7
Above 60%,Total,Total,Finland,2008,2.5
Above 60%,Total,Total,Finland,2009,2.4
Above 60%,Total,Total,Finland,2010,2.4
Above 60%,Total,Total,Finland,2011,2.7
Above 60%,Total,Total,Finland,2012,2.6
Above 60%,Total,Total,Finland,2013,2.8
Above 60%,Total,Total,Finland,2014,2.8
Above 60%,Total,Total,Finland,2015,2.7
Above 60%,Total,Total,Finland,2016,2.4
Above 60%,Total,Total,Finland,2017,2.5
Above 60%,Total,Total,Finland,2018,2.4
Above 60%,Total,Total,Finland,2019,2.1
Above 60%,Total,Total,Finland,2020,2.3
Above 60%,Total,Total,Finland,2021,2.6
Above 60%,Total,Total,Finland,2022,3.2
Above 60%,Total,Total,Finland,2023,3.1
Above 60%,Total,Total,Finland,2024,3.0
Above 60%,Total,Total,Finland,2025,2.3
Above 60%,Total,Total,Sweden,2004,4.0
Above 60%,Total,Total,Sweden,2005,4.2
Above 60%,Total,Total,Sweden,2006,3.6
