rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,Greece,2010,18.1
Total,Total,Total,Greece,2011,24.2
Total,Total,Total,Greece,2012,33.1
Total,Total,Total,Greece,2013,36.9
Total,Total,Total,Greece,2014,44.9
Total,Total,Total,Greece,2015,45.5
Total,Total,Total,Greece,2016,40.5
Total,Total,Total,Greece,2017,39.6
Total,Total,Total,Greece,2018,39.5
Total,Total,Total,Greece,2019,36.2
Total,Total,Total,Greece,2020,33.3
Total,Total,Total,Greece,2021,28.8
Total,Total,Total,Greece,2022,26.7
Total,Total,Total,Greece,2023,28.5
Total,Total,Total,Greece,2024,28.9
Total,Total,Total,Greece,2025,26.4
Total,Total,Total,Spain,2004,4.9
Total,Total,Total,Spain,2005,5.3
Total,Total,Total,Spain,2006,7.4
Total,Total,Total,Spain,2007,8.3
Total,Total,Total,Spain,2008,9.4
Total,Total,Total,Spain,2009,10.4
Total,Total,Total,Spain,2010,9.7
Total,Total,Total,Spain,2011,10.0
Total,Total,Total,Spain,2012,10.7
Total,Total,Total,Spain,2013,10.3
Total,Total,Total,Spain,2014,10.9
Total,Total,Total,Spain,2015,10.3
Total,Total,Total,Spain,2016,10.2
Total,Total,Total,Spain,2017,9.8
Total,Total,Total,Spain,2018,8.9
Total,Total,Total,Spain,2019,8.5
Total,Total,Total,Spain,2020,8.2
Total,Total,Total,Spain,2021,9.9
Total,Total,Total,Spain,2022,9.2
Total,Total,Total,Spain,2023,8.2
Total,Total,Total,Spain,2024,7.8
Total,Total,Total,Spain,2025,7.2
Total,Total,Total,France,2004,5.4
Total,Total,Total,France,2005,5.3
Total,Total,Total,France,2006,6.0
Total,Total,Total,France,2007,5.7
Total,Total,Total,France,2008,4.2
Total,Total,Total,France,2009,4.0
Total,Total,Total,France,2010,5.1
Total,Total,Total,France,2011,5.2
Total,Total,Total,France,2012,5.2
Total,Total,Total,France,2013,5.2
Total,Total,Total,France,2014,5.1
Total,Total,Total,France,2015,5.7
Total,Total,Total,France,2016,5.2
Total,Total,Total,France,2017,5.0
Total,Total,Total,France,2018,4.7
Total,Total,Total,France,2019,5.5
Total,Total,Total,France,2020,5.6
